occurrences,pct,param1,param2,param3,value1,value2,value3,nrn
0,0.0,406,1,10,20332,1,10,5686
0,0.0,406,1,10,35953,1,10,5686
0,0.0,406,1,10,45463,1,10,5686
0,0.0,406,1,10,59669,7,10,5686
0,0.0,406,1,10,76826,1,10,5686
0,0.0,406,1,10,93853,1,10,5686
0,0.0,406,1,10,109297,8,10,5686
0,0.0,406,1,10,139951,1,5,5686
0,0.0,406,1,10,153761,10,10,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,10,20332,1,10,5686
0,0.0,406,1,10,35953,1,10,5686
0,0.0,406,1,10,45463,1,10,5686
0,0.0,406,1,10,59669,7,10,5686
0,0.0,406,1,10,76826,1,10,5686
0,0.0,406,1,10,93853,1,10,5686
0,0.0,406,1,10,109297,8,10,5686
0,0.0,406,1,10,139951,1,10,5686
0,0.0,406,1,10,153761,10,10,5686
0,0.0,406,1,3,20332,1,1,5686
0,0.0,406,1,3,35953,1,1,5686
0,0.0,406,1,3,45463,1,4,5686
0,0.0,406,1,3,59669,7,1,5686
0,0.0,406,1,3,76826,1,1,5686
0,0.0,406,1,3,93853,1,1,5686
0,0.0,406,1,3,109297,8,8,5686
0,0.0,406,1,3,139951,1,1,5686
0,0.0,406,1,3,153761,10,4,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,3,5686
0,0.0,406,1,1,139951,1,8,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,10,20332,1,8,5686
0,0.0,406,1,10,35953,1,10,5686
0,0.0,406,1,10,45463,1,3,5686
0,0.0,406,1,10,59669,7,8,5686
0,0.0,406,1,10,76826,1,10,5686
0,0.0,406,1,10,93853,1,10,5686
0,0.0,406,1,10,109297,8,9,5686
0,0.0,406,1,10,139951,1,10,5686
0,0.0,406,1,10,153761,10,7,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,10,20332,1,10,5686
0,0.0,406,1,10,35953,1,10,5686
0,0.0,406,1,10,45463,1,10,5686
0,0.0,406,1,10,59669,7,10,5686
0,0.0,406,1,10,76826,1,10,5686
0,0.0,406,1,10,93853,1,10,5686
0,0.0,406,1,10,109297,8,10,5686
0,0.0,406,1,10,139951,1,10,5686
0,0.0,406,1,10,153761,10,10,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,3,20332,1,8,5686
0,0.0,406,1,3,35953,1,10,5686
0,0.0,406,1,3,45463,1,1,5686
0,0.0,406,1,3,59669,7,1,5686
0,0.0,406,1,3,76826,1,7,5686
0,0.0,406,1,3,93853,1,6,5686
0,0.0,406,1,3,109297,8,8,5686
0,0.0,406,1,3,139951,1,2,5686
0,0.0,406,1,3,153761,10,3,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,7,20332,1,4,5686
0,0.0,406,1,7,35953,1,6,5686
0,0.0,406,1,7,45463,1,5,5686
0,0.0,406,1,7,59669,7,8,5686
0,0.0,406,1,7,76826,1,10,5686
0,0.0,406,1,7,93853,1,8,5686
0,0.0,406,1,7,109297,8,1,5686
0,0.0,406,1,7,139951,1,8,5686
0,0.0,406,1,7,153761,10,6,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,1,20332,1,1,5686
0,0.0,406,1,1,35953,1,1,5686
0,0.0,406,1,1,45463,1,1,5686
0,0.0,406,1,1,59669,7,1,5686
0,0.0,406,1,1,76826,1,1,5686
0,0.0,406,1,1,93853,1,1,5686
0,0.0,406,1,1,109297,8,1,5686
0,0.0,406,1,1,139951,1,1,5686
0,0.0,406,1,1,153761,10,1,5686
0,0.0,406,1,5,20332,1,1,5686
0,0.0,406,1,5,35953,1,1,5686
0,0.0,406,1,5,45463,1,2,5686
0,0.0,406,1,5,59669,7,3,5686
0,0.0,406,1,5,76826,1,1,5686
0,0.0,406,1,5,93853,1,1,5686
0,0.0,406,1,5,109297,8,2,5686
0,0.0,406,1,5,139951,1,1,5686
0,0.0,406,1,5,153761,10,6,5686
0,0.0,406,1,7,20332,1,8,5686
0,0.0,406,1,7,35953,1,10,5686
0,0.0,406,1,7,45463,1,4,5686
0,0.0,406,1,7,59669,7,6,5686
0,0.0,406,1,7,76826,1,10,5686
0,0.0,406,1,7,93853,1,10,5686
0,0.0,406,1,7,109297,8,3,5686
0,0.0,406,1,7,139951,1,5,5686
0,0.0,406,1,7,153761,10,4,5686
0,0.0,406,1,6,20332,1,9,5686
0,0.0,406,1,6,35953,1,7,5686
0,0.0,406,1,6,45463,1,7,5686
0,0.0,406,1,6,59669,7,6,5686
0,0.0,406,1,6,76826,1,3,5686
0,0.0,406,1,6,93853,1,6,5686
0,0.0,406,1,6,109297,8,7,5686
0,0.0,406,1,6,139951,1,10,5686
0,0.0,406,1,6,153761,10,7,5686
0,0.0,406,1,8,20332,1,1,5686
0,0.0,406,1,8,35953,1,10,5686
0,0.0,406,1,8,45463,1,10,5686
0,0.0,406,1,8,59669,7,8,5686
0,0.0,406,1,8,76826,1,10,5686
